id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
45433715,"1 Bedroom Penthouse Apartment M, Seefeld",24506494,EMA House,Kreis 8,Seefeld,47.36109,8.55035,Entire home/apt,298,2,2,2023-04-16,0.05,19,308,0,
45433840,"Studio Penthouse Apartment, Downtown",24506494,EMA House,Kreis 6,Unterstrass,47.38339,8.54063,Entire home/apt,164,2,39,2025-02-17,0.72,19,234,5,
45437609,"spacious private room in artistic, quite mansion",119640383,Rayén,Kreis 7,Hirslanden,47.36425,8.56006,Private room,,2,79,2022-12-11,1.29,6,0,0,
45525628,"2 Bedroom Superior Serviced Apartment, Downtown",24506494,EMA House,Kreis 6,Unterstrass,47.38302,8.54072,Entire home/apt,356,2,28,2025-05-16,0.55,19,245,4,
45526177,"1 Bedroom Superior Serviced Apartment, Downtown",24506494,EMA House,Kreis 6,Unterstrass,47.38302,8.54072,Entire home/apt,299,2,42,2025-06-11,0.82,19,361,7,
45541437,The Crown Terrace Penthouse Bahnhofstrasse Zürich,144959892,Anna Victoria,Kreis 1,Lindenhof,47.37586,8.54059,Entire home/apt,850,3,4,2024-03-13,0.07,4,151,0,
45585448,Stylish & bright appartment in Zurich (+Cat),21780493,Judith Miriam,Kreis 7,Hirslanden,47.36022,8.56446,Private room,,2,3,2021-05-02,0.05,2,0,0,
45636577,Schöne 1-Zimmerwohnung an zentraler Lage.,215134850,Roland,Kreis 11,Oerlikon,47.40922,8.54212,Entire home/apt,95,3,214,2025-09-12,4.20,1,205,48,
45653531,Charming Flat in the city,369841831,Sara,Kreis 2,Enge,47.36512,8.52639,Entire home/apt,131,1,25,2025-09-12,0.90,1,37,3,
45664571,Old Town Luxury Suite,8321863,Mona,Kreis 1,Hochschulen,47.36907,8.54855,Entire home/apt,,4,0,,,1,0,0,
45681069,Scandi chic styled studio next to the lake,83271512,José-Luis,Kreis 8,Seefeld,47.35649,8.5555,Entire home/apt,216,2,5,2025-08-29,0.09,23,12,1,
45701656,Studio Apt in Charming Zurich Old Town M07,15038541,Cher.,Kreis 1,Rathaus,47.37441,8.54372,Entire home/apt,162,1,360,2025-09-05,5.97,17,214,51,
45746693,A cozy getaway for Zurich visitors,74593950,Artur,Kreis 11,Seebach,47.41704,8.54724,Entire home/apt,,1,0,,,1,0,0,
45764126,"""Margaritli"" Cozy studio in the old town of Zurich",371008290,Sonia,Kreis 1,Rathaus,47.37441,8.54372,Entire home/apt,129,1,502,2025-09-08,8.33,13,102,66,
45766108,New 2-bedroom/2 bath topfloor serviced apartment,83271512,José-Luis,Kreis 3,Alt-Wiedikon,47.36803,8.52044,Entire home/apt,330,2,13,2023-12-30,0.24,23,94,0,
45780399,Charmant appartement central,175506309,Eve,Kreis 4,Langstrasse,47.37818,8.53107,Entire home/apt,,2,51,2025-09-23,2.26,1,0,28,
45870795,"Stylish, sunny apartment in Zurich near the lake",21780493,Judith Miriam,Kreis 7,Hirslanden,47.36031,8.56585,Entire home/apt,,2,10,2021-12-29,0.17,2,0,0,
45874380,Zimmer nähe Bahnhof,367640221,Mehmet,Kreis 11,Affoltern,47.42386,8.51164,Private room,,4,0,,,1,0,0,
